country_code,country_name,year,occupation,trust,neither,distrust
MYS,Malaysia,2022,Politicians generally,17,31,52
NDL,Netherlands,2022,Politicians generally,13,40,47
PER,Peru,2022,Politicians generally,7,10,83
POL,Poland,2022,Politicians generally,7,19,74
KSA,Saudi Arabia,2022,Politicians generally,,,
SWE,Sweden,2022,Politicians generally,15,33,52
TUR,Turkey,2022,Politicians generally,14,18,68
USA,United States,2022,Politicians generally,10,24,66
RSA,South Africa,2022,Politicians generally,10,14,76
ARG,Argentina,2022,Government ministers,7,19,74
AUS,Australia,2022,Government ministers,16,34,50
BEL,Belgium,2022,Government ministers,14,32,54
BRA,Brazil,2022,Government ministers,13,23,64
CAN,Canada,2022,Government ministers,19,35,46
CHL,Chile,2022,Government ministers,14,24,62
CHN,China,2022,Government ministers,,,
COL,Colombia,2022,Government ministers,12,23,65
DEU,Germany,2022,Government ministers,23,35,42
DNK,Denmark,2022,Government ministers,28,44,28
ESP,Spain,2022,Government ministers,11,23,66
FRA,France,2022,Government ministers,16,29,55
GBR,United Kingdom,2022,Government ministers,17,26,57
HUN,Hungary,2022,Government ministers,9,20,71
IND,India,2022,Government ministers,31,26,43
ITA,Italy,2022,Government ministers,14,34,52
JAP,Japan,2022,Government ministers,10,42,48
KOR,South Korea,2022,Government ministers,17,33,50
MEX,Mexico,2022,Government ministers,15,26,59
MYS,Malaysia,2022,Government ministers,20,31,49
NDL,Netherlands,2022,Government ministers,17,40,43
PER,Peru,2022,Government ministers,10,14,76
POL,Poland,2022,Government ministers,13,19,68
KSA,Saudi Arabia,2022,Government ministers,,,
SWE,Sweden,2022,Government ministers,26,45,29
TUR,Turkey,2022,Government ministers,18,26,56
USA,United States,2022,Government ministers,15,36,49
RSA,South Africa,2022,Government ministers,11,16,73
ARG,Argentina,2022,Advertising executives,17,43,40
AUS,Australia,2022,Advertising executives,12,37,51
BEL,Belgium,2022,Advertising executives,14,28,58
BRA,Brazil,2022,Advertising executives,18,43,39
CAN,Canada,2022,Advertising executives,15,41,44
CHL,Chile,2022,Advertising executives,17,39,44
CHN,China,2022,Advertising executives,30,32,38
COL,Colombia,2022,Advertising executives,25,39,36
DEU,Germany,2022,Advertising executives,18,33,49
DNK,Denmark,2022,Advertising executives,15,43,42
ESP,Spain,2022,Advertising executives,13,36,51
FRA,France,2022,Advertising executives,13,31,56
GBR,United Kingdom,2022,Advertising executives,16,39,45
HUN,Hungary,2022,Advertising executives,8,40,52
IND,India,2022,Advertising executives,35,33,32
ITA,Italy,2022,Advertising executives,16,41,43
JAP,Japan,2022,Advertising executives,9,60,31
KOR,South Korea,2022,Advertising executives,10,38,52
MEX,Mexico,2022,Advertising executives,22,42,36
MYS,Malaysia,2022,Advertising executives,21,48,31
NDL,Netherlands,2022,Advertising executives,11,46,43
PER,Peru,2022,Advertising executives,18,40,42
POL,Poland,2022,Advertising executives,11,37,52
KSA,Saudi Arabia,2022,Advertising executives,40,31,29
SWE,Sweden,2022,Advertising executives,14,37,49
TUR,Turkey,2022,Advertising executives,18,34,48
USA,United States,2022,Advertising executives,13,39,48
RSA,South Africa,2022,Advertising executives,24,38,38
ARG,Argentina,2022,Clergy/Priests,16,24,60
AUS,Australia,2022,Clergy/Priests,27,37,36
BEL,Belgium,2022,Clergy/Priests,18,42,40
BRA,Brazil,2022,Clergy/Priests,30,33,37
CAN,Canada,2022,Clergy/Priests,27,38,35
CHL,Chile,2022,Clergy/Priests,14,22,64
CHN,China,2022,Clergy/Priests,,,
COL,Colombia,2022,Clergy/Priests,25,29,46
DEU,Germany,2022,Clergy/Priests,27,37,36
DNK,Denmark,2022,Clergy/Priests,46,35,19
ESP,Spain,2022,Clergy/Priests,15,26,59
FRA,France,2022,Clergy/Priests,24,36,40
GBR,United Kingdom,2022,Clergy/Priests,33,38,29
HUN,Hungary,2022,Clergy/Priests,21,31,48
IND,India,2022,Clergy/Priests,40,31,29
ITA,Italy,2022,Clergy/Priests,21,31,48
JAP,Japan,2022,Clergy/Priests,18,52,30
KOR,South Korea,2022,Clergy/Priests,36,36,28
MEX,Mexico,2022,Clergy/Priests,25,27,48
MYS,Malaysia,2022,Clergy/Priests,25,43,32
NDL,Netherlands,2022,Clergy/Priests,24,42,34
PER,Peru,2022,Clergy/Priests,28,32,40
POL,Poland,2022,Clergy/Priests,16,24,60
KSA,Saudi Arabia,2022,Clergy/Priests,,,
SWE,Sweden,2022,Clergy/Priests,41,35,24
TUR,Turkey,2022,Clergy/Priests,16,37,47
USA,United States,2022,Clergy/Priests,37,35,28
RSA,South Africa,2022,Clergy/Priests,31,35,34
ARG,Argentina,2022,Journalists,18,36,46
AUS,Australia,2022,Journalists,21,38,41
BEL,Belgium,2022,Journalists,21,41,38
BRA,Brazil,2022,Journalists,34,32,34
CAN,Canada,2022,Journalists,28,42,30
CHL,Chile,2022,Journalists,25,31,44
CHN,China,2022,Journalists,45,35,20
COL,Colombia,2022,Journalists,23,33,44
DEU,Germany,2022,Journalists,29,39,32
DNK,Denmark,2022,Journalists,24,40,36
ESP,Spain,2022,Journalists,17,37,46
FRA,France,2022,Journalists,27,37,36
GBR,United Kingdom,2022,Journalists,20,38,42
HUN,Hungary,2022,Journalists,9,33,58
IND,India,2022,Journalists,38,27,35
ITA,Italy,2022,Journalists,18,38,44
JAP,Japan,2022,Journalists,16,48,36
KOR,South Korea,2022,Journalists,15,42,43
MEX,Mexico,2022,Journalists,33,37,30
MYS,Malaysia,2022,Journalists,28,45,27
NDL,Netherlands,2022,Journalists,34,44,22
PER,Peru,2022,Journalists,23,30,47
POL,Poland,2022,Journalists,24,36,40
KSA,Saudi Arabia,2022,Journalists,44,29,27
SWE,Sweden,2022,Journalists,27,36,37
TUR,Turkey,2022,Journalists,16,34,50
USA,United States,2022,Journalists,24,39,37
RSA,South Africa,2022,Journalists,29,33,38
ARG,Argentina,2022,Bankers,15,39,46
AUS,Australia,2022,Bankers,20,42,38
BEL,Belgium,2022,Bankers,18,39,43
BRA,Brazil,2022,Bankers,14,33,53
CAN,Canada,2022,Bankers,30,44,26
CHL,Chile,2022,Bankers,16,35,49
CHN,China,2022,Bankers,41,35,24
COL,Colombia,2022,Bankers,18,29,53
DEU,Germany,2022,Bankers,25,38,37
DNK,Denmark,2022,Bankers,29,45,26
ESP,Spain,2022,Bankers,11,25,64
FRA,France,2022,Bankers,18,37,45
GBR,United Kingdom,2022,Bankers,23,37,40
HUN,Hungary,2022,Bankers,12,33,55
IND,India,2022,Bankers,52,26,22
ITA,Italy,2022,Bankers,17,43,40
JAP,Japan,2022,Bankers,16,54,30
KOR,South Korea,2022,Bankers,29,51,20
MEX,Mexico,2022,Bankers,20,35,45
MYS,Malaysia,2022,Bankers,42,41,17
NDL,Netherlands,2022,Bankers,16,42,42
PER,Peru,2022,Bankers,16,35,49
POL,Poland,2022,Bankers,11,35,54
KSA,Saudi Arabia,2022,Bankers,51,26,23
SWE,Sweden,2022,Bankers,30,44,26
TUR,Turkey,2022,Bankers,22,33,45
USA,United States,2022,Bankers,27,44,29
RSA,South Africa,2022,Bankers,32,39,29
ARG,Argentina,2022,Civil servants,10,17,73
AUS,Australia,2022,Civil servants,29,50,21
BEL,Belgium,2022,Civil servants,23,53,24
BRA,Brazil,2022,Civil servants,24,39,37
CAN,Canada,2022,Civil servants,32,48,20
CHL,Chile,2022,Civil servants,16,35,49
CHN,China,2022,Civil servants,,,
COL,Colombia,2022,Civil servants,14,27,59
DEU,Germany,2022,Civil servants,29,45,26
DNK,Denmark,2022,Civil servants,37,41,22
ESP,Spain,2022,Civil servants,24,43,33
FRA,France,2022,Civil servants,37,43,20
GBR,United Kingdom,2022,Civil servants,31,44,25
HUN,Hungary,2022,Civil servants,20,46,34
IND,India,2022,Civil servants,46,27,27
ITA,Italy,2022,Civil servants,20,46,34
JAP,Japan,2022,Civil servants,17,56,27
KOR,South Korea,2022,Civil servants,19,48,33
MEX,Mexico,2022,Civil servants,11,25,64
MYS,Malaysia,2022,Civil servants,31,42,27
NDL,Netherlands,2022,Civil servants,23,49,28
PER,Peru,2022,Civil servants,7,21,72
POL,Poland,2022,Civil servants,11,30,59
KSA,Saudi Arabia,2022,Civil servants,49,30,21
SWE,Sweden,2022,Civil servants,28,52,20
TUR,Turkey,2022,Civil servants,31,41,28
USA,United States,2022,Civil servants,22,39,39
RSA,South Africa,2022,Civil servants,31,,
ARG,Argentina,2022,Television news readers,19,33,48
AUS,Australia,2022,Television news readers,27,43,30
BEL,Belgium,2022,Television news readers,30,43,27
BRA,Brazil,2022,Television news readers,28,36,36
CAN,Canada,2022,Television news readers,30,43,27
CHL,Chile,2022,Television news readers,19,32,49
CHN,China,2022,Television news readers,47,37,16
COL,Colombia,2022,Television news readers,18,29,53
DEU,Germany,2022,Television news readers,39,37,24
DNK,Denmark,2022,Television news readers,34,41,25
ESP,Spain,2022,Television news readers,20,40,40
FRA,France,2022,Television news readers,24,40,36
GBR,United Kingdom,2022,Television news readers,37,43,20
HUN,Hungary,2022,Television news readers,15,37,48
IND,India,2022,Television news readers,37,29,34
ITA,Italy,2022,Television news readers,19,39,42
JAP,Japan,2022,Television news readers,19,56,25
KOR,South Korea,2022,Television news readers,21,49,30
MEX,Mexico,2022,Television news readers,17,36,47
MYS,Malaysia,2022,Television news readers,36,45,19
NDL,Netherlands,2022,Television news readers,37,43,20
PER,Peru,2022,Television news readers,20,30,50
POL,Poland,2022,Television news readers,15,37,48
KSA,Saudi Arabia,2022,Television news readers,49,27,24
SWE,Sweden,2022,Television news readers,40,13,47
TUR,Turkey,2022,Television news readers,20,43,37
USA,United States,2022,Television news readers,24,46,30
RSA,South Africa,2022,Television news readers,37,,
ARG,Argentina,2022,Business leaders,19,38,43
AUS,Australia,2022,Business leaders,19,45,36
BEL,Belgium,2022,Business leaders,15,54,31
BRA,Brazil,2022,Business leaders,20,42,38
CAN,Canada,2022,Business leaders,21,48,31
CHL,Chile,2022,Business leaders,14,31,55
CHN,China,2022,Business leaders,43,36,21
COL,Colombia,2022,Business leaders,33,35,32
DEU,Germany,2022,Business leaders,22,48,30
DNK,Denmark,2022,Business leaders,28,51,21
ESP,Spain,2022,Business leaders,16,37,47
FRA,France,2022,Business leaders,25,48,27
GBR,United Kingdom,2022,Business leaders,22,43,35
HUN,Hungary,2022,Business leaders,16,48,36
IND,India,2022,Business leaders,41,30,29
ITA,Italy,2022,Business leaders,23,47,30
JAP,Japan,2022,Business leaders,13,63,24
KOR,South Korea,2022,Business leaders,15,45,40
MEX,Mexico,2022,Business leaders,24,42,34
MYS,Malaysia,2022,Business leaders,28,47,25
NDL,Netherlands,2022,Business leaders,22,58,20
PER,Peru,2022,Business leaders,26,38,36
POL,Poland,2022,Business leaders,16,43,41
KSA,Saudi Arabia,2022,Business leaders,51,27,22
SWE,Sweden,2022,Business leaders,19,52,29
TUR,Turkey,2022,Business leaders,20,37,43
USA,United States,2022,Business leaders,18,48,34
RSA,South Africa,2022,Business leaders,29,40,31
ARG,Argentina,2022,Lawyers,18,37,45
AUS,Australia,2022,Lawyers,28,39,33
BEL,Belgium,2022,Lawyers,24,39,37
BRA,Brazil,2022,Lawyers,20,41,39
CAN,Canada,2022,Lawyers,26,41,33
CHL,Chile,2022,Lawyers,25,33,42
CHN,China,2022,Lawyers,55,30,15
COL,Colombia,2022,Lawyers,20,35,45
DEU,Germany,2022,Lawyers,38,41,21
DNK,Denmark,2022,Lawyers,34,42,24
ESP,Spain,2022,Lawyers,27,37,36
FRA,France,2022,Lawyers,31,42,27
GBR,United Kingdom,2022,Lawyers,33,40,27
HUN,Hungary,2022,Lawyers,21,40,39
IND,India,2022,Lawyers,41,27,32
ITA,Italy,2022,Lawyers,21,42,37
JAP,Japan,2022,Lawyers,30,50,20
KOR,South Korea,2022,Lawyers,22,47,31
MEX,Mexico,2022,Lawyers,21,46,33
MYS,Malaysia,2022,Lawyers,32,43,25
NDL,Netherlands,2022,Lawyers,39,41,20
PER,Peru,2022,Lawyers,16,34,50
POL,Poland,2022,Lawyers,27,39,34
KSA,Saudi Arabia,2022,Lawyers,48,29,23
SWE,Sweden,2022,Lawyers,38,43,19
TUR,Turkey,2022,Lawyers,26,34,40
USA,United States,2022,Lawyers,17,44,39
RSA,South Africa,2022,Lawyers,30,35,35
ARG,Argentina,2022,The police,20,34,46
AUS,Australia,2022,The police,50,30,20
BEL,Belgium,2022,The police,40,41,19
BRA,Brazil,2022,The police,29,31,40
CAN,Canada,2022,The police,45,33,22
CHL,Chile,2022,The police,32,27,41
CHN,China,2022,The police,,,
COL,Colombia,2022,The police,24,26,50
DEU,Germany,2022,The police,53,30,17
DNK,Denmark,2022,The police,58,22,20
ESP,Spain,2022,The police,50,29,21
FRA,France,2022,The police,50,31,19
GBR,United Kingdom,2022,The police,44,31,25
HUN,Hungary,2022,The police,29,38,33
IND,India,2022,The police,41,29,30
ITA,Italy,2022,The police,39,39,22
JAP,Japan,2022,The police,31,48,21
KOR,South Korea,2022,The police,24,42,34
MEX,Mexico,2022,The police,13,28,59
MYS,Malaysia,2022,The police,38,37,25
NDL,Netherlands,2022,The police,58,30,12
PER,Peru,2022,The police,20,34,46
POL,Poland,2022,The police,24,36,40
KSA,Saudi Arabia,2022,The police,,,
SWE,Sweden,2022,The police,55,27,18
TUR,Turkey,2022,The police,42,30,28
USA,United States,2022,The police,41,32,27
RSA,South Africa,2022,The police,16,19,65
ARG,Argentina,2022,Judges,13,24,63
AUS,Australia,2022,Judges,48,33,19
BEL,Belgium,2022,Judges,36,39,25
BRA,Brazil,2022,Judges,28,35,37
CAN,Canada,2022,Judges,46,37,17
CHL,Chile,2022,Judges,17,30,53
CHN,China,2022,Judges,,,
COL,Colombia,2022,Judges,21,32,47
DEU,Germany,2022,Judges,47,38,15
DNK,Denmark,2022,Judges,57,28,15
ESP,Spain,2022,Judges,32,35,33
FRA,France,2022,Judges,42,37,21
GBR,United Kingdom,2022,Judges,49,34,17
HUN,Hungary,2022,Judges,26,39,35
IND,India,2022,Judges,54,24,22
ITA,Italy,2022,Judges,27,40,33
JAP,Japan,2022,Judges,36,48,16
KOR,South Korea,2022,Judges,25,39,36
MEX,Mexico,2022,Judges,21,33,46
MYS,Malaysia,2022,Judges,40,41,19
NDL,Netherlands,2022,Judges,59,27,14
PER,Peru,2022,Judges,11,22,67
POL,Poland,2022,Judges,24,34,42
KSA,Saudi Arabia,2022,Judges,,,
SWE,Sweden,2022,Judges,49,35,16
TUR,Turkey,2022,Judges,29,31,40
USA,United States,2022,Judges,34,44,22
RSA,South Africa,2022,Judges,36,33,31
ARG,Argentina,2022,Pollsters,30,42,28
AUS,Australia,2022,Pollsters,13,51,36
BEL,Belgium,2022,Pollsters,23,47,30
BRA,Brazil,2022,Pollsters,37,35,28
CAN,Canada,2022,Pollsters,22,51,27
CHL,Chile,2022,Pollsters,28,44,28
CHN,China,2022,Pollsters,,,
COL,Colombia,2022,Pollsters,37,34,29
DEU,Germany,2022,Pollsters,33,45,22
DNK,Denmark,2022,Pollsters,33,47,20
ESP,Spain,2022,Pollsters,26,44,30
FRA,France,2022,Pollsters,38,44,18
GBR,United Kingdom,2022,Pollsters,20,55,25
HUN,Hungary,2022,Pollsters,22,45,33
IND,India,2022,Pollsters,35,34,31
ITA,Italy,2022,Pollsters,28,44,28
JAP,Japan,2022,Pollsters,12,60,28
KOR,South Korea,2022,Pollsters,16,48,36
MEX,Mexico,2022,Pollsters,39,41,20
MYS,Malaysia,2022,Pollsters,34,45,21
NDL,Netherlands,2022,Pollsters,25,51,24
PER,Peru,2022,Pollsters,37,35,28
POL,Poland,2022,Pollsters,20,44,36
KSA,Saudi Arabia,2022,Pollsters,50,30,20
SWE,Sweden,2022,Pollsters,32,45,23
TUR,Turkey,2022,Pollsters,27,38,35
USA,United States,2022,Pollsters,16,52,32
RSA,South Africa,2022,Pollsters,19,50,31
ARG,Argentina,2022,Armed forces members,36,36,28
AUS,Australia,2022,Armed forces members,50,35,15
BEL,Belgium,2022,Armed forces members,33,47,20
BRA,Brazil,2022,Armed forces members,30,36,34
CAN,Canada,2022,Armed forces members,50,38,12
CHL,Chile,2022,Armed forces members,31,27,42
CHN,China,2022,Armed forces members,,,
COL,Colombia,2022,Armed forces members,29,26,45
DEU,Germany,2022,Armed forces members,36,43,21
DNK,Denmark,2022,Armed forces members,41,40,19
ESP,Spain,2022,Armed forces members,47,28,25
FRA,France,2022,Armed forces members,52,33,15
GBR,United Kingdom,2022,Armed forces members,51,33,16
HUN,Hungary,2022,Armed forces members,38,39,23
IND,India,2022,Armed forces members,64,18,18
ITA,Italy,2022,Armed forces members,37,40,23
JAP,Japan,2022,Armed forces members,33,51,16
KOR,South Korea,2022,Armed forces members,25,49,26
MEX,Mexico,2022,Armed forces members,38,30,32
MYS,Malaysia,2022,Armed forces members,46,39,15
NDL,Netherlands,2022,Armed forces members,44,44,12
PER,Peru,2022,Armed forces members,34,34,32
POL,Poland,2022,Armed forces members,30,43,27
KSA,Saudi Arabia,2022,Armed forces members,,,
SWE,Sweden,2022,Armed forces members,56,33,11
TUR,Turkey,2022,Armed forces members,39,33,28
USA,United States,2022,Armed forces members,56,32,12
RSA,South Africa,2022,Armed forces members,28,35,37
ARG,Argentina,2022,Ordinary men/women,41,43,16
AUS,Australia,2022,Ordinary men/women,40,45,15
BEL,Belgium,2022,Ordinary men/women,32,51,17
BRA,Brazil,2022,Ordinary men/women,36,42,22
CAN,Canada,2022,Ordinary men/women,37,51,12
CHL,Chile,2022,Ordinary men/women,46,38,16
CHN,China,2022,Ordinary men/women,48,37,15
COL,Colombia,2022,Ordinary men/women,47,37,16
DEU,Germany,2022,Ordinary men/women,38,48,14
DNK,Denmark,2022,Ordinary men/women,43,43,14
ESP,Spain,2022,Ordinary men/women,44,43,13
FRA,France,2022,Ordinary men/women,39,48,13
GBR,United Kingdom,2022,Ordinary men/women,40,47,13
HUN,Hungary,2022,Ordinary men/women,27,51,22
IND,India,2022,Ordinary men/women,52,31,17
ITA,Italy,2022,Ordinary men/women,34,47,19
JAP,Japan,2022,Ordinary men/women,16,66,18
KOR,South Korea,2022,Ordinary men/women,22,59,19
MEX,Mexico,2022,Ordinary men/women,53,33,14
MYS,Malaysia,2022,Ordinary men/women,35,51,14
NDL,Netherlands,2022,Ordinary men/women,32,52,16
PER,Peru,2022,Ordinary men/women,35,46,19
POL,Poland,2022,Ordinary men/women,35,47,18
KSA,Saudi Arabia,2022,Ordinary men/women,47,32,21
SWE,Sweden,2022,Ordinary men/women,31,50,19
TUR,Turkey,2022,Ordinary men/women,27,45,28
USA,United States,2022,Ordinary men/women,40,48,12
RSA,South Africa,2022,Ordinary men/women,31,41,28
ARG,Argentina,2022,Teachers,55,33,12
AUS,Australia,2022,Teachers,57,29,14
BEL,Belgium,2022,Teachers,47,36,17
BRA,Brazil,2022,Teachers,64,21,15
CAN,Canada,2022,Teachers,57,31,12
CHL,Chile,2022,Teachers,63,23,14
CHN,China,2022,Teachers,66,22,12
COL,Colombia,2022,Teachers,59,25,16
DEU,Germany,2022,Teachers,41,41,18
DNK,Denmark,2022,Teachers,45,41,14
ESP,Spain,2022,Teachers,62,27,11
FRA,France,2022,Teachers,52,34,14
GBR,United Kingdom,2022,Teachers,59,30,11
HUN,Hungary,2022,Teachers,52,34,14
IND,India,2022,Teachers,62,21,17
ITA,Italy,2022,Teachers,43,40,17
JAP,Japan,2022,Teachers,17,54,29
KOR,South Korea,2022,Teachers,31,46,23
MEX,Mexico,2022,Teachers,55,29,16
MYS,Malaysia,2022,Teachers,57,33,10
NDL,Netherlands,2022,Teachers,61,29,10
PER,Peru,2022,Teachers,40,40,20
POL,Poland,2022,Teachers,34,45,21
KSA,Saudi Arabia,2022,Teachers,58,23,19
SWE,Sweden,2022,Teachers,52,30,18
TUR,Turkey,2022,Teachers,56,27,17
USA,United States,2022,Teachers,58,28,14
RSA,South Africa,2022,Teachers,55,27,18
ARG,Argentina,2022,Scientists,64,23,13
AUS,Australia,2022,Scientists,59,27,14
BEL,Belgium,2022,Scientists,55,28,17
BRA,Brazil,2022,Scientists,61,25,14
CAN,Canada,2022,Scientists,58,30,12
CHL,Chile,2022,Scientists,63,22,15
CHN,China,2022,Scientists,71,17,12
COL,Colombia,2022,Scientists,65,19,16
DEU,Germany,2022,Scientists,52,29,19
DNK,Denmark,2022,Scientists,60,26,14
ESP,Spain,2022,Scientists,70,18,12
FRA,France,2022,Scientists,57,31,12
GBR,United Kingdom,2022,Scientists,62,27,11
HUN,Hungary,2022,Scientists,53,29,18
IND,India,2022,Scientists,63,18,19
ITA,Italy,2022,Scientists,56,26,18
JAP,Japan,2022,Scientists,37,52,11
KOR,South Korea,2022,Scientists,49,36,15
MEX,Mexico,2022,Scientists,70,19,11
MYS,Malaysia,2022,Scientists,50,37,13
NDL,Netherlands,2022,Scientists,59,29,12
PER,Peru,2022,Scientists,53,28,19
POL,Poland,2022,Scientists,48,31,21
KSA,Saudi Arabia,2022,Scientists,60,20,20
SWE,Sweden,2022,Scientists,54,33,13
TUR,Turkey,2022,Scientists,63,20,17
USA,United States,2022,Scientists,53,31,16
RSA,South Africa,2022,Scientists,44,29,27
ARG,Argentina,2022,Doctors,68,20,12
AUS,Australia,2022,Doctors,65,22,13
BEL,Belgium,2022,Doctors,61,26,13
BRA,Brazil,2022,Doctors,59,26,15
CAN,Canada,2022,Doctors,62,27,11
CHL,Chile,2022,Doctors,60,24,16
CHN,China,2022,Doctors,68,20,12
COL,Colombia,2022,Doctors,61,24,15
DEU,Germany,2022,Doctors,60,28,12
DNK,Denmark,2022,Doctors,62,24,14
ESP,Spain,2022,Doctors,71,19,10
FRA,France,2022,Doctors,65,25,10
GBR,United Kingdom,2022,Doctors,66,20,14
HUN,Hungary,2022,Doctors,40,34,26
IND,India,2022,Doctors,55,22,23
ITA,Italy,2022,Doctors,54,30,16
JAP,Japan,2022,Doctors,43,42,15
KOR,South Korea,2022,Doctors,43,38,19
MEX,Mexico,2022,Doctors,70,21,9
MYS,Malaysia,2022,Doctors,57,32,11
NDL,Netherlands,2022,Doctors,69,21,10
PER,Peru,2022,Doctors,53,27,20
POL,Poland,2022,Doctors,39,38,23
KSA,Saudi Arabia,2022,Doctors,60,24,16
SWE,Sweden,2022,Doctors,55,28,17
TUR,Turkey,2022,Doctors,58,25,17
USA,United States,2022,Doctors,60,29,11
RSA,South Africa,2022,Doctors,61,20,19
